"Subject" "Activity" "tBodyAccAvgX" "tBodyAccAvgY" "tBodyAccAvgZ" "tBodyAccStdAvgX" "tBodyAccStdAvgY" "tBodyAccStdAvgZ" "tBodyGyroAvgX" "tBodyGyroAvgY" "tBodyGyroAvgZ" "tBodyGyroStdAvgX" "tBodyGyroStdAvgY" "tBodyGyroStdAvgZ" "tGravityAccAvgX" "tGravityAccAvgY" "tGravityAccAvgZ" "tGravityAccStdAvgX" "tGravityAccStdAvgY" "tGravityAccStdAvgZ"
"1" "1" "LAYING" 0.0225060922306166 0.0297771769634422 0.0325102425854175 0.0203121913864637 0.0238530919897639 0.0277810124924886 0.0884396719102317 0.0313636409358672 0.0556411139172297 0.0922254579582891 0.0299728334727925 0.0373195322661598 0.206831368388437 0.718381067171031 0.545189752402328 0.0204796975646603 0.0239979707753252 0.0314412759324191
"2" "1" "SITTING" 0.00746875795604953 0.0141348444209808 0.0114521859991459 0.00680038739094221 0.0118638284383404 0.0102934288888764 0.0292692915271486 0.026552263593959 0.0491275451006825 0.0195841655359818 0.022619627725537 0.0268980558708292 0.920397420977394 0.230512473086769 0.322026273969415 0.00646400176746432 0.00762917750910514 0.00854657876357304
"3" "1" "STANDING" 0.00228556609339251 0.00558200528700059 0.00588807719920301 0.00190515716611534 0.0044534596529375 0.004435041098588 0.0119473167027282 0.0142883848914071 0.0141667217600481 0.0092300205575926 0.00916942672356975 0.00985214393110132 1.00285410551297 0.250082117467571 0.03767030918448 0.00240779994949359 0.0452613850551758 0.00564610783249827
"4" "1" "WALKING" 0.18698946332349 0.14690461271652 0.108946970778897 0.139994249794085 0.123368954550852 0.0819081753666152 0.369073406086365 0.572609309284712 0.252814702509196 0.292825311982924 0.445421237717093 0.195690915775756 0.997061180921053 0.261512218895556 0.130886165919855 0.233861527742345 0.195170837161051 0.0880038429246999
"5" "1" "WALKING_DOWNSTAIRS" 0.270240329172864 0.12481414205743 0.114870159367259 0.198587380862401 0.111038175216479 0.0837233512311145 0.456078748157398 0.534113978017028 0.328318394244882 0.3371151497221 0.416864794220598 0.271294738442407 0.997136499202806 0.243439328810395 0.124916527991371 0.335222988334404 0.168004087189382 0.0949998731724806
"6" "1" "WALKING_UPSTAIRS" 0.169911177649331 0.139543080126434 0.147955920233193 0.124612693238985 0.100584124086179 0.101041472774309 0.405362292425206 0.625350358615006 0.190176028516321 0.295843174464212 0.461675448896411 0.153769299643965 0.962941935097288 0.342436307062647 0.166058853020725 0.210133677853263 0.180401265073542 0.0914397503292371
"7" "10" "LAYING" 0.00936047152532435 0.0096070162036754 0.00867586919497414 0.00883096863497026 0.00855674901690718 0.00781997234675824 0.0322509937048602 0.0410631569217136 0.0195500353840699 0.0273934231314979 0.0305149766969308 0.0134198675107572 0.0515079335479256 0.76230055234375 0.494452011112608 0.00921912087573444 0.0851633981480886 0.0524499352823654
"8" "10" "SITTING" 0.00561237172269502 0.0127591752411926 0.00697427003946108 0.00501659546202885 0.0117560725470426 0.00617865218238418 0.0203439296523161 0.02319005878808 0.0404655985105463 0.0111706433937605 0.0122585211054253 0.0191834142368956 0.894307647554977 0.389929883438947 0.194911771563802 0.00379000391963848 0.0392907833566388 0.00582404729842315
"9" "10" "STANDING" 0.00537501620793164 0.0124408115097195 0.0114667996985345 0.00645349220849139 0.010765729402681 0.00975325108764672 0.0509310667096374 0.0277982458246911 0.0237462372120561 0.0431638817536449 0.0258291969000447 0.0187708928600577 1.01020633668324 0.174931746457741 0.0555390392318473 0.00816837106652203 0.0273270270441761 0.0115582144421981
"10" "10" "WALKING" 0.213529997878051 0.127188368761287 0.0909523659296138 0.161586862472402 0.110257631224967 0.0648801302118107 0.428403075591362 0.483791218142644 0.307923200364475 0.304184264782779 0.309704781582269 0.256874721711639 1.01702665511498 0.160145758206869 0.0924077559418956 0.267994336413255 0.146750928707007 0.0769895682963642
